      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
2006  0.09 -0.26 -0.07  0.20 -0.02 -0.06 -0.08  0.15  0.21  0.66  0.57  0.12
2007  0.20  0.02  0.14  0.23  0.35  0.16  0.28  0.42  0.37  0.18 -0.09 -0.21
2008 -0.15 -0.28  0.01 -0.31  0.07  0.13  0.19  0.05 -0.05  0.05  0.03  0.05
2009  0.02  0.40  0.48  0.17  0.17  0.08 -0.33 -0.21 -0.15 -0.03 -0.21  0.20
2010  0.25 -0.13  0.25  0.26 -0.42 -0.23 -0.34 -0.48 -0.91 -1.10 -0.37 -0.25
2011  0.10  0.01  0.21  0.08 -0.22 -0.10 -0.11  0.18  0.34  0.39 -0.01 -0.10
2012  0.19 -0.11  0.04 -0.27 -0.17  0.01  0.70  0.80  0.59  0.13  0.05  0.05
2013 -0.11 -0.18 -0.15 -0.30 -0.28 -0.45 -0.36 -0.33 -0.37 -0.15  0.23 -0.13
2014  0.06 -0.22 -0.49 -0.17 -0.08 -0.23 -0.35 -0.61 -0.30 -0.04  0.02 -0.16
2015 -0.19 -0.21 -0.29  0.21  0.48  0.34  0.15  0.65  1.09  0.80  0.40 -0.10
2016 -0.56 -0.22 -0.01 -0.11 -0.45 -0.71 -1.20 -0.76 -1.10 -0.74 -0.30  0.13
2017  0.24  0.48  0.32  0.61  0.50  0.52  0.59  0.91  0.22  0.06  0.11 -0.42
2018  0.01  0.51 -0.12  0.17  0.42 -0.06  0.12  0.48  0.91  0.45  0.46  0.57
2019  0.26 -0.34  0.04  0.07  1.00  1.21  0.90  1.10  1.44  2.04  1.50  0.61
2020  0.31  0.03 -0.05 -0.17  0.33  0.54  0.29 -0.42 -0.48  0.04 -0.31 -0.08
2021 -0.27 -0.05  0.13  0.33 -0.41 -0.56 -0.61 -0.51 -0.48 -0.61 -0.45 -0.36
2022 -0.42 -0.67 -0.03 -0.22 -0.35 -0.51 -1.26 -1.16 -1.04 -1.11 -0.24  0.03
2023  0.30  0.14  0.74  0.18 -0.11  0.11  0.15  0.95  1.39  1.83  1.59  1.10
2024  0.62 -0.12  0.48  0.24  0.25 -0.14 -0.42  0.17  0.12 -0.73 -0.54 -0.56
2025 -0.47  0.23  0.29  0.16 -0.07 -0.33 99.90 99.90 99.90 99.90 99.90 99.90
